ESTABILIDAD;05/03/2025 09:28:37AM;DOBACK002;53;0;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3;usciclo4; usciclo5; si; accmag; microsds
-18.06;  86.86; 1024.07; -727.65; 364.35; -39.81;   1.82;   5.74;   4.33; 41759526.00; 20029.00; 19969.00; 20001.00; 19998.00; 20039.00;   0.82; 1027.90; 19968.00; 
-20.01;  88.21; 1022.85; -1108.28;  18.72; 222.69;   1.83;   5.82;   4.31; 41859688.00; 19959.00; 20025.00; 19974.00; 20001.00; 20037.00;   0.80; 1026.84; 19968.00; 
09:29:18AM
-21.11;  87.60; 1018.94; -1707.65;  -3.15; 410.81;   1.82;   5.81;   4.31; 41959022.00; 19962.00; 19998.00; 20001.00; 19998.00; 20025.00;   0.78; 1022.92; 18323.00; 
-20.86;  89.79; 1021.38; 221.73; -370.65; -188.56;   1.83;   5.82;   4.29; 42059145.00; 19996.00; 19978.00; 19998.00; 20001.00; 19998.00;   0.79; 1025.54; 18323.00; 
-20.25;  88.21; 1022.60; -347.02;  40.60;  43.31;   1.80;   5.83;   4.30; 42158938.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.79; 1026.60; 18323.00; 
-18.91;  89.30; 1022.85; 186.73; 163.10; -92.31;   1.79;   5.84;   4.31; 42258988.00; 19998.00; 20001.00; 20022.00; 19977.00; 19998.00;   0.81; 1026.91; 18323.00; 
-19.40;  90.28; 1022.36; -102.03; 180.60; -241.06;   1.78;   5.83;   4.32; 42359071.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1026.52; 18323.00; 
-20.74;  89.55; 1021.87;  86.10; -38.15; 130.81;   1.79;   5.82;   4.33; 42459304.00; 19998.00; 19999.00; 20001.00; 19998.00; 20001.00;   0.79; 1026.00; 18323.00; 
-20.25;  90.04; 1021.99; -456.40; 394.97; -284.81;   1.82;   5.80;   4.30; 42559472.00; 19998.00; 20001.00; 19998.00; 20001.00; 20023.00;   0.79; 1026.15; 18323.00; 
-19.28;  91.01; 1022.36; 112.35; -742.53; 454.56;   1.74;   5.82;   4.34; 42658969.00; 19977.00; 19998.00; 19999.00; 20017.00; 19987.00;   0.80; 1026.58; 18323.00; 
-20.01;  89.91; 1022.48;  51.10; 482.47; -599.81;   1.83;   5.80;   4.28; 42759296.00; 19996.00; 20037.00; 19961.00; 20001.00; 19998.00;   0.79; 1026.62; 18323.00; 
-19.64;  90.89; 1022.36; 129.85; 316.22; -35.44;   1.83;   5.82;   4.30; 42859762.00; 20001.00; 19998.00; 20001.00; 19998.00; 20237.00;   0.80; 1026.58; 18323.00; 
09:29:19AM
-19.40;  91.38; 1021.63; -75.78; -20.65; -31.06;   1.82;   5.85;   4.31; 42958918.00; 19800.00; 19961.00; 20017.00; 19994.00; 19989.00;   0.80; 1025.89; 21387.00; 
-20.25;  89.79; 1022.12;  46.72; -16.28; -118.56;   1.82;   5.85;   4.31; 43059228.00; 19998.00; 20001.00; 20034.00; 19965.00; 19998.00;   0.79; 1026.25; 21387.00; 
-19.89;  90.52; 1023.09;  37.97;  31.85; -48.56;   1.81;   5.85;   4.30; 43159179.00; 20001.00; 19998.00; 20001.00; 19998.00; 20033.00;   0.80; 1027.28; 21387.00; 
-19.52;  90.52; 1021.14; 112.35; -90.65; -48.56;   1.81;   5.85;   4.30; 43258988.00; 19981.00; 19985.00; 19998.00; 20001.00; 19998.00;   0.80; 1025.33; 21387.00; 
-20.13;  90.04; 1021.87;  29.22; -60.03;  25.81;   1.81;   5.85;   4.30; 43359214.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.79; 1026.03; 21387.00; 
-20.74;  90.77; 1023.09; -172.02;  66.85; -74.81;   1.81;   5.83;   4.31; 43459438.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.79; 1027.32; 21387.00; 
-19.76;  89.79; 1019.92; -141.40; 145.60; 165.81;   1.81;   5.84;   4.30; 43559287.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1024.06; 21387.00; 
-19.40;  90.52; 1022.60; 1236.72; -156.28; -118.56;   1.81;   5.84;   4.30; 43658836.00; 19998.00; 20001.00; 20027.00; 20016.00; 19955.00;   0.80; 1026.79; 21387.00; 
-19.28;  92.23; 1025.29; -228.90; 158.72; -284.81;   1.81;   5.83;   4.30; 43759295.00; 20001.00; 20023.00; 19974.00; 20001.00; 19998.00;   0.80; 1029.61; 21387.00; 
-19.76;  90.52; 1022.12; -1353.28;  53.72; 178.94;   1.81;   5.82;   4.30; 43859756.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1026.31; 21387.00; 
09:29:20AM
-20.37;  91.26; 1021.63; -224.52;  27.47;  34.56;   1.80;   5.83;   4.29; 43958883.00; 20001.00; 19997.00; 20001.00; 19998.00; 20006.00;   0.79; 1025.90; 26219.00; 
-20.74;  89.79; 1020.77;  -5.78; -90.65;  17.06;   1.80;   5.82;   4.29; 44058873.00; 19997.00; 19995.00; 20001.00; 19998.00; 20001.00;   0.79; 1024.93; 26219.00; 
-19.03;  91.13; 1021.14; 103.60;  79.97;  -0.44;   1.79;   5.82;   4.29; 44159051.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.80; 1025.38; 26219.00; 
-19.28;  90.04; 1022.73; -45.15; -25.03;  21.44;   1.79;   5.81;   4.29; 44259408.00; 20018.00; 19980.00; 20001.00; 19999.00; 20001.00;   0.80; 1026.86; 26219.00; 
-21.23;  90.77; 1021.38;  42.35; -77.53; -22.31;   1.79;   5.81;   4.29; 44359320.00; 20000.00; 19999.00; 19999.00; 20001.00; 19998.00;   0.78; 1025.63; 26219.00; 
-20.25;  90.28; 1021.75; -23.28; -160.65; -162.31;   1.78;   5.81;   4.29; 44459268.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.79; 1025.93; 26219.00; 
-18.42;  91.01; 1022.24;  24.85; 114.97;  25.81;   1.78;   5.80;   4.29; 44559172.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.81; 1026.45; 26219.00; 
-21.47;  89.91; 1022.85;   7.35; -25.03;  56.44;   1.78;   5.78;   4.29; 44659023.00; 20044.00; 19954.00; 20039.00; 19960.00; 20029.00;   0.78; 1027.02; 26219.00; 
-20.74;  90.52; 1021.26; -128.27;  14.35; -52.94;   1.78;   5.78;   4.29; 44759619.00; 19971.00; 19998.00; 20001.00; 19998.00; 20044.00;   0.79; 1025.48; 26219.00; 
-17.93;  92.35; 1021.63;  42.35; 114.97;  69.56;   1.76;   5.78;   4.29; 44859572.00; 19954.00; 20075.00; 19924.00; 20001.00; 19998.00;   0.82; 1025.95; 26219.00; 
09:29:21AM
-19.28;  87.35; 1023.46; 291.73;   1.22; -162.31;   1.77;   5.77;   4.29; 44958925.00; 20001.00; 20003.00; 20006.00; 20004.00; 19983.00;   0.80; 1027.36; 20469.00; 
-21.84;  92.84; 1022.73; 217.35; -29.40; -44.19;   1.77;   5.78;   4.29; 45059158.00; 20000.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.78; 1027.16; 20469.00; 
-20.50;  91.13; 1020.41;   2.97; -73.15; -61.69;   1.76;   5.76;   4.28; 45159099.00; 20011.00; 19988.00; 20001.00; 19998.00; 20001.00;   0.79; 1024.67; 20469.00; 
-18.06;  89.55; 1023.70; 256.73; 285.60;  -9.19;   1.75;   5.75;   4.28; 45259248.00; 19998.00; 20001.00; 19998.00; 20008.00; 19990.00;   0.82; 1027.77; 20469.00; 
-19.03;  91.26; 1022.36; 304.85; 145.60; -17.94;   1.75;   5.74;   4.27; 45359106.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1026.60; 20469.00; 
-20.50;  91.62; 1022.12; 116.72;  -7.53; -48.56;   1.75;   5.74;   4.28; 45459242.00; 19998.00; 20005.00; 20054.00; 19941.00; 19998.00;   0.79; 1026.42; 20469.00; 
-21.11;  89.55; 1023.70;  -1.40; -226.28; -31.06;   1.74;   5.73;   4.27; 45559242.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.78; 1027.83; 20469.00; 
-18.54;  91.99; 1020.65; -102.03; 132.47;   8.31;   1.74;   5.73;   4.27; 45659445.00; 20001.00; 19998.00; 20001.00; 19998.00; 19999.00;   0.81; 1024.96; 20469.00; 
-19.52;  89.43; 1021.02; -268.27; -29.40;   3.94;   1.74;   5.72;   4.26; 45759552.00; 20001.00; 20180.00; 19820.00; 20028.00; 20032.00;   0.80; 1025.11; 20469.00; 
-20.98;  90.28; 1022.48;  46.72;  88.72; 100.19;   1.74;   5.72;   4.26; 45859586.00; 19963.00; 19974.00; 20001.00; 19998.00; 19999.00;   0.78; 1026.67; 20469.00; 
09:29:22AM
-20.50;  91.26; 1021.99; -67.03; -68.78; -13.56;   1.74;   5.71;   4.26; 45958891.00; 20002.00; 19997.00; 20001.00; 19998.00; 20001.00;   0.79; 1026.26; 21056.00; 
-18.67;  90.04; 1021.14; 317.98; 101.85;  30.19;   1.73;   5.69;   4.26; 46059149.00; 19998.00; 20001.00; 19998.00; 20029.00; 20020.00;   0.81; 1025.27; 21056.00; 
-19.28;  90.52; 1022.85; 160.48;  66.85; -92.31;   1.73;   5.68;   4.26; 46159140.00; 19995.00; 19954.00; 20238.00; 19761.00; 20006.00;   0.80; 1027.03; 21056.00; 
-20.50;  90.77; 1023.21;  24.85; 106.22;  38.94;   1.74;   5.67;   4.26; 46259260.00; 19992.00; 19999.00; 20001.00; 20058.00; 19942.00;   0.79; 1027.44; 21056.00; 
-20.25;  90.52; 1023.09; -294.52; -99.40; -140.44;   1.74;   5.67;   4.25; 46359206.00; 19998.00; 20001.00; 19998.00; 20048.00; 19950.00;   0.79; 1027.29; 21056.00; 
-19.03;  89.79; 1020.77;  90.47;  49.35;  73.94;   1.73;   5.67;   4.25; 46459112.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.80; 1024.89; 21056.00; 
-19.76;  90.40; 1021.26;  72.97;  18.72; -149.19;   1.74;   5.67;   4.25; 46559426.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1025.45; 21056.00; 
-19.28;  88.94; 1016.02; -3273.90; 950.60; 2939.56;   1.79;   5.77;   4.33; 46659426.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.80; 1020.08; 21056.00; 
-18.91;  91.26; 1023.46; -145.77; -108.15; -171.06;   1.80;   5.78;   4.34; 46759525.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.81; 1027.69; 21056.00; 
-22.45;  90.65; 1021.87; -263.90; 132.47;  43.31;   1.81;   5.77;   4.33; 46859512.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.77; 1026.13; 21056.00; 
09:29:23AM
-21.72;  90.52; 1022.85; 226.10;  40.60; -66.06;   1.81;   5.78;   4.33; 46958865.00; 20003.00; 19997.00; 19998.00; 20001.00; 19998.00;   0.78; 1027.08; 21320.00; 
-18.30;  91.50; 1022.73; -233.27; -16.28;  78.31;   1.80;   5.78;   4.33; 47059115.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.81; 1026.97; 21320.00; 
-18.79;  90.28; 1021.26; 125.47; 149.97; -44.19;   1.80;   5.77;   4.33; 47158969.00; 19998.00; 20019.00; 19979.00; 20043.00; 19956.00;   0.81; 1025.42; 21320.00; 
-21.59;  91.74; 1022.85;  81.72; -77.53; -31.06;   1.79;   5.77;   4.33; 47258978.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.78; 1027.18; 21320.00; 
