ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-13.42; -21.72; 1006.26; -24.32; -204.92; 731.76;   1.06;  -0.21;   5.79; 62818.00; 19997.00; 20000.00; 19998.00; 19999.00; 19999.00;   0.98; 1006.58; 196184.00;   0.50;
-13.42; -22.20; 1007.84; -273.70; 140.70; 788.64;   1.06;  -0.22;   5.77; 64575.00; 19999.00; 20000.00; 19998.00; 19999.00; 19999.00;   0.98; 1008.18; 196184.00;   0.50;
-13.42; -21.96; 1007.84; 146.30;  -8.05; 946.14;   1.07;  -0.25;   5.76; 81121.00; 19999.00; 20000.00; 19998.00; 19999.00; 19999.00;   0.98; 1008.17; 196184.00;   0.50;
-13.42; -21.96; 1007.84; 570.67; -200.55; 1020.51;   1.09;  -0.28;   5.74; 181236.00; 20003.00; 20000.00; 19997.00; 19999.00; 19998.00;   0.98; 1008.17; 196184.00;   0.50;
-13.42; -21.96; 1007.84; 758.80; -340.55; 1501.76;   1.12;  -0.31;   5.70; 281335.00; 19999.00; 20002.00; 19997.00; 19999.00; 19999.00;   0.98; 1008.17; 196184.00;   0.50;
09:56:11
61.61; 322.57; 965.02; 566.30; -178.67; 1659.26;   1.10;  -0.23;   5.66; 380376.00; 20001.00; 19997.00; 19999.00; 19999.00; 19999.00;   0.88; 1019.37; 196184.00;   0.50;
-13.05; -20.86; 1007.60; 631.92; -161.17; 1501.76;   1.11;  -0.24;   5.63; 63646.00; 20003.00; 19999.00; 19998.00; 19998.00; 20001.00;   0.98; 1007.90; 196184.00;   0.50;
-13.05; -18.30; 1007.11; 430.67; -401.80; 1436.14;   1.12;  -0.26;   5.60; 66347.00; 20001.00; 20001.00; 19996.00; 19999.00; 19999.00;   0.98; 1007.36; 199650.00;   0.50;
-13.18; -17.20; 1007.35; 168.18; -384.30; 1256.76;   1.13;  -0.27;   5.58; 6484.00; 20003.00; 19999.00; 20000.00; 19997.00; 20014.00;   0.98; 1007.59; 199650.00;   0.50;
