ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
8.54;  15.74; 995.76; 230.65; -7103.86; -17954.82; -10.25;   5.83; -39.72; 117762.00; 19996.00; 19998.00; 20003.00; 20002.00; 19994.00;   0.98; 995.92; 194475.00;   0.50;
8.54;  15.74; 995.76; 1040.03; -7755.74; -17504.20; -10.75;   6.19; -41.61; 217877.00; 20028.00; 19973.00; 19997.00; 19998.00; 20000.00;   0.98; 995.92; 194475.00;   0.50;
-179.95; 381.86; 912.80; 1188.78; -7711.99; -17998.57; -11.21;   6.62; -43.55; 318285.00; 20002.00; 19996.00; 19999.00; 19999.00; 20050.00;   0.64; 1005.69; 194475.00;   0.50;
-177.75; 384.06; 924.39; 620.03; -7025.11; -18834.20; -11.57;   7.22; -45.53; 418297.00; 19949.00; 19999.00; 19998.00; 19999.00; 20000.00;   0.65; 1016.66; 194475.00;   0.50;
-185.20; 393.94; 935.01; 506.27; -6097.61; -19621.70; -11.85;   7.84; -47.57; 518064.00; 19999.00; 19999.00; 19999.00; 19998.00; 19999.00;   0.64; 1031.37; 194475.00;   0.50;
09:50:21
33.06;  -4.15; 1016.87; 1481.90; -6688.24; -19748.57; -12.16;   8.35; -49.64; 17939.00; 20000.00; 19998.00; 20004.00; 19999.00; 20001.00;   0.94; 1017.42; 194475.00;   0.50;
58.56; -10.13; 990.15; 1744.40; -7602.61; -19949.82; -12.54;   8.82; -51.66; 16287.00; 19996.00; 19998.00; 20000.00; 19998.00; 20000.00;   0.89; 991.93; 194475.00;   0.50;
108.95; -69.54; 1017.72; -1742.47; -7926.36; -19009.20; -13.02;   9.33; -53.66; 68587.00; 20003.00; 19998.00; 20051.00; 19944.00; 19999.00;   0.81; 1025.90; 194475.00;   0.50;
98.70; -58.32; 993.81; -1996.22; -8180.11; -18282.95; -13.54;   9.91; -55.65; 6235.00; 19999.00; 20003.00; 19996.00; 20002.00; 19996.00;   0.82; 1000.40; 194987.00;   0.50;
92.96; -56.36; 997.47; 2269.40; -8683.24; -18296.07; -14.01;  10.31; -57.68; 31833.00; 19999.00; 20003.00; 19996.00; 19999.00; 20003.00;   0.83; 1003.38; 194987.00;   0.50;
74.18; -53.44; 1017.11; 2811.90; -7970.11; -18383.57; -14.36;  10.69; -59.75; 53097.00; 19996.00; 19998.00; 20004.00; 20043.00; 19952.00;   0.87; 1021.21; 194987.00;   0.50;
73.20; -53.56; 1016.75; -351.23; -7038.24; -17158.57; -14.56;  11.22; -61.85; 19226.00; 19999.00; 19998.00; 20000.00; 20002.00; 20001.00;   0.87; 1020.79; 194987.00;   0.50;
71.00; -55.88; 1006.99; -600.60; -7042.61; -16095.45; -14.68;  11.86; -63.97; 1182.00; 19996.00; 20003.00; 20000.00; 19996.00; 19999.00;   0.87; 1011.03; 194987.00;   0.50;
